question,answer,wrong_answer
 I learned from my colleagues. ,"Say, who did you learn from? Jonathan Karl? Is that what you said?","That's good. Tremendous, really. You know, you learn a lot from your colleagues, especially the smart ones, the ones who really know how to get things done. Some of the best ideas, believe me, come from listening to people on the ground, people who are *doing* the work. Very, very important to be open, to get good information. It's how you win. That's how you win."
" On criminal justice reform, obviously I gave a lengthy speech yesterday, but this is something that I’ve been thinking about a lot; been working first with Eric Holder, now with Loretta Lynch about -- we’ve been working on along with other prosecutors of the U.S. Attorney’s Office. It’s an outgrowth of the task force that we put together, post-Ferguson and the Garner case in New York. And I don’t think that the criminal justice system is obviously the sole source of racial tension in this country, or the key institution to resolving the opportunity gap. But I think it is a part of the broader set of challenges that we face in creating a more perfect union. And the good news is, is that this is one of those rare issues where we’ve got some Republican and Democratic interest, as well as federal, state, and local interest in solving the problem. I think people recognize that there are violent criminals out there and they’ve got to be locked up. We’ve got to have tough prosecutors, we have to support our law enforcement officials. Police are in a tough job and they are helping to keep us safe, and we are grateful and thankful to them. But what we also know is this huge spike in incarcerations is also driven by non-violent drug offenses where the sentencing is completely out of proportion with the crime. And that costs taxpayers enormous amounts of money. 3 It is debilitating communities who are seeing huge proportions of the young men in their communities finding themselves with a criminal record, rendering them oftentimes unemployable. So it compounds problems that these communities already have. And so I am very appreciative of folks like Dick Durbin and Cory Booker, alongside Mike Lee and Rand Paul and other folks in the House who are working together to see if we can both reduce some of these mandatory minimums around non-violent drug offenses. Because again, I tend not to have a lot of sympathy when it comes to violent crime. But when it comes to non-violent drug offenses, is there work that we can do to reduce mandatory minimums, create more diversion programs like drug courts? Then, can we do a better job on the rehabilitation side inside of prisons so that we are preparing these folks who are eventually going to be released to reenter the workforce? On the back end, are we doing more to link them up with reentry programs that are effective? And this may be an area where we could have some really significant bipartisan legislation that doesn't eliminate all the other challenges we’ve got. Because the most important goal is keeping folks from getting in the criminal justice system in the first place, which means early childhood education and good jobs, and making sure that we're not segregating folks in impoverished communities that have no contact with opportunity. But this can make a difference. I met these four ex-offenders, as I said, yesterday, and what was remarkable was how they had turned their lives around. And these were some folks who had been some pretty tough criminals. One of them had served 10 years; another was a repeat offender that had served a lot of time. And in each instance, somebody intervened at some point in their lives -- once they had already been in the criminal justice system, once they had already gotten in trouble -- and said, you know what, I think you can live a different way, and I’m willing to help you. And that one person, an art teacher, or a GED teacher, or somebody who was willing to offer a guy a job -- I want to give a shout-out to Five Guys, because one of the guys there was an ex-felon, and Five Guys gave him a job. And he ended up becoming a manager at the store and was able to completely turn his life around. But the point was, somebody reached out to that person and gave him a chance. And so part of our question should be, how about somebody reaching out to these guys when they’re 10, or 11, or 12, or eight, as opposed to waiting until they’ve already gone through a criminal justice program. That’s part of why we’re doing My Brother’s Keeper. But this is an area where I feel modestly optimistic. I think in the meantime we’ve got to stay on top of keeping the crime rate down, because part of the reason I think there’s a conversation taking place is violent crime has significantly dropped. Last year, we saw both incarcerations and the crime rate drop, and this can always turn if we start seeing renewed problems in terms of violent crime. 4 And there’s parts of the country where violent crime is still a real problem, including my hometown of Chicago, and in Baltimore. And part of what I’ve asked Attorney General Lynch to do is to figure out how can we refocus attention. If we’re going to do a package of criminal justice reforms, part of it would be actually having a greater police presence and more law enforcement in the communities that are really getting hit hard and haven’t seen some of the drops in violent crime that we’ve seen in places like Manhattan, for example. With respect to the visit to Kenya, it’s obviously something I’m looking forward to. I’ll be honest with you, visiting Kenya as a private citizen is probably more meaningful to me than visiting as President because I can actually get outside of a hotel room or a conference center. And just the logistics of visiting a place are always tough as President, but it’s obviously symbolically important. And my hope is, is that we can deliver a message that the U.S. is a strong partner not just for Kenya, but for Sub-Saharan Africa generally; build on the progress that’s been made around issues of health and education; focus on counterterrorism issues that are important in East Africa because of al-Shabaab and some of the tragedies that have happened inside of Kenya; and continue to encourage democracy and the reduction of corruption inside that country that sometimes has held back this incredibly gifted and blessed country. And with respect to the Medal of Freedom, there’s no precedent for revoking a medal. We don’t have that mechanism. And as you know, I tend to make it a policy not to comment on the specifics of cases where there might still be, if not criminal, then civil issues involved. I’ll say this: If you give a woman -- or a man, for that matter -- without his or her knowledge, a drug, and then have sex with that person without consent, that’s rape. And I think this country -- any civilized country -- should have no tolerance for rape. All right. Have we exhausted Iran questions here? I think there’s a helicopter that’s coming. But I really am enjoying this Iran debate. Topics that may not have been touched upon, criticisms that you’ve heard that I did not answer? Go ahead. I know Josh is getting a little stressed here -- but I just want to make sure that we’re not leaving any stones unturned here. Go ahead. Question: Thanks, Mr. President. I’ll be brief. The argument has been made that Iran now has a cash windfall, billions to spend. Your people seem confident they’re going to spend it at home. Why are you confident they’re not going to spend it on arming Hezbollah, arming Bashar al-Assad, et cetera? ","I think that’s a great question and I’m glad you brought it up. I think it is a mistake to characterize our belief that they will just spend it on daycare centers, and roads, and paying down debt. 5 We think that they have to do some of that, because Rouhani was elected specifically on the premise of improving the economic situation inside of Iran. That economy has tanked since we imposed sanctions. So the notion that they're just immediately going to turn over $100 billion to the IRGC or the Quds Force I think runs contrary to all the intelligence that we’ve seen and the commitments that the Iranian government has made. Do we think that with the sanctions coming down, that Iran will have some additional resources for its military and for some of the activities in the region that are a threat to us and a threat to our allies? I think that is a likelihood that they’ve got some additional resources. Do I think it’s a game-changer for them? No. They are currently supporting Hezbollah, and there is a ceiling -- a pace at which they could support Hezbollah even more, particularly in the chaos that's taking place in Syria. So can they potentially try to get more assistance there? Yes. Should we put more resources into blocking them from getting that assistance to Hezbollah? Yes. Is the incremental additional money that they’ve got to try to destabilize the region or send to their proxies, is that more important than preventing Iran from getting a nuclear weapon? No. So I think -- again, this is a matter of us making a determination of what is our priority. The other problem with the argument that folks have been making about, oh, this is a windfall and suddenly Iran is flushed with cash, and they're going to take over the world. And I say that not tongue-in-cheek, because if you look at some of the statements by some of our critics, you would think that Iran is, in fact, going to take over the world as a consequence of this deal -- which I think would be news to the Iranians. That argument is also premised on the notion that if there is no deal, if Congress votes down this deal, that we're able to keep sanctions in place with the same vigor and effectiveness as we have right now. And that, I can promise you, is not true. That is absolutely not true. I want to repeat: We're not writing Iran a check. This is Iran’s money that we were able to block from them having access to. That required the cooperation of countries all around the world, many of whom really want to purchase oil from Iran. The imposition of sanctions -- their cooperation with us -- has cost them billions of dollars, made it harder for them. They’ve been willing to do that because they’ve believed we were sincere about trying to resolve the nuclear issue peacefully, and they considered that a priority -- a high enough priority that they were willing to cooperate with us on sanctions. If they saw us walking away, or more specifically, if they saw the U.S. Congress effectively vetoing the judgment of 99 percent of the world community that this is a deal that resolves the Iranian weapons program -- nuclear weapons program in an equitable way, the sanctions system unravels. And so we could still maintain some of our unilateral sanctions, but it would be far less effective -- as it was before we were able to put together these multilateral sanctions. 6 So maybe they don't get $100 billion; maybe they get $60 billion or $70 billion instead. The price for that that we’ve paid is that now Iran is pursuing a nuclear weapon. We have no inspectors on the ground. We don't know what’s going on. They’re still getting some cash windfall. We’ve lost credibility in the eyes of the world. We will have effectively united Iran and divided ourselves from our allies. A terrible position to be in. I'm just going to look -- I made some notes about any of the arguments -- the other arguments that I’ve heard here.","Well, folks, you know, I just heard some of that, and it's interesting, very interesting. A lot of talk, a lot of big words, but let's talk about results, okay? Real results.

On criminal justice reform, they were talking about it for years, right? Years and years. And what did we do? We got it done. The First Step Act. Nobody thought it could be done, but we did it. Brought Republicans and Democrats together, real bipartisanship, not just talk. We got people out, tremendous people, who deserved a second chance, non-violent offenders, and they're doing great things. They're doing incredible things. The economy was booming, the best ever, before the China virus, and these folks, they got jobs. They're working. That's how you do rehabilitation. Not just talk. You give them opportunity.

And when they talk about mandatory minimums, we looked at that. We fixed some of the bad parts, believe me. But you also have to be tough on crime. You have to be. We need our police. We support our police 100%. What's happening in places like Chicago, it's a disaster. It's sad. A beautiful city, run by people who don't know what they're doing, and crime is through the roof. We sent in the National Guard, we offered to help, but they didn't want the help. So you have to be tough. Violent criminals, they belong in jail. Common sense.

Then they talk about Kenya. Look, I love America first. We make tremendous deals. We work with countries, but it has to be good for us. We're not just going around the world, giving money away. We make deals that benefit America, that bring jobs back. And when you talk about corruption, believe me, we deal with corruption every day, right here, with some of the fake news. But we deal with it.

And the Medal of Freedom, the Cosby situation. Look, that's simple. When a man does something like that, you take the medal away. It's just common sense. You can't be doing things like that. Nobody has tolerance for that. It's a horrible thing. It should be taken away, immediately. Why wouldn't it be?

But the big one, the *big* one, is Iran. They talk about the Iran Deal, and how they were so confident Iran wouldn't spend that money on terror. Give me a break! That was a disaster! A complete and total disaster for our country, for Israel, for the Middle East. They gave Iran billions and billions of dollars in cash, pallets of cash, and they knew, everybody knew, they were going to fund Hezbollah, they were going to fund terror. That's why I pulled out of that terrible deal. We put maximum pressure on them, the strongest sanctions ever, and we were bringing them to their knees. We were winning! That was a terrible, terrible deal. They never should have done it.

So, you know, a lot of talk, but we got it done. We secured our country, we built the greatest economy, and we had real law and order. That's what you need. Thank you."
 What about -- [off-mic] -- the end of the deal? ,"Okay, yes, that’s a good one. The notion --","Alright, the end of the deal, huh? Look, sometimes a deal ends because it wasn't a *great* deal to begin with. We don't do bad deals anymore. We only do great deals, deals that benefit our country, our workers, our incredible people.

So, if a deal's over, believe me, it's because we're moving on to something bigger and something much, much better for the United States of America. That's how we do it now. We don't settle."
 At the end of the deal they could go back -- ,"Right. Well, so let’s address this issue of -- because that’s the other big argument that’s been made. All right, let’s assume that the deal holds for 10 years, Iran doesn’t cheat. Now, at the end of 10 years, some of the restrictions have been lifted -- although, remember, others stay in place for 15 years. So for example, they’ve still got to keep their stockpiles at a minimal level for 15 years. The inspections don’t go away; those are still in place 15, 20 years from now. Their commitment under the Non-Proliferation Treaty does not go away; that’s still in place. The additional protocol that they have to sign up for under this deal, which requires a more extensive inspection and verification mechanism -- that stays in place. So there’s no scenario in which a U.S. President is not in a stronger position 12, 13, 15 years from now if, in fact, Iran decided at that point they still wanted to get a nuclear weapon. Keep in mind, we will have maintained a one-year breakout time, we will have rolled back their program, frozen their facilities, kept them under severe restrictions, had observers. They will have made international commitments supported by countries around the world. And -- hold on a second -- and if at that point they finally decided, you know what, we’re going to cheat, or not even cheat -- at that point, they decide openly we’re now pursuing a nuclear weapon -- they’re still in violation of this deal and the commitments they’ve made internationally. And so we are still in a position to mobilize the world community to say, no, you can’t have a nuclear weapon. And they’re not in a stronger position to get a nuclear weapon at that point; they’re in a weaker position than they are today. And, by the way, we haven’t given away any of our military capabilities. We’re not in a weaker position to respond. 7 So even if everything the critics were saying was true -- that at the end of 10 years, or 12 years, or 15 years, Iran now is in a position to decide it wants a nuclear weapon, that they’re at a breakout point -- they won’t be at a breakout point that is more dangerous than the breakout point they’re in right now. They won’t be at a breakout point that is shorter than the one that exists today. And so why wouldn’t we at least make sure that for the next 10, 15, years they are not getting a nuclear weapon and we can verify it; and afterwards, if they decide if they’ve changed their mind, we are then much more knowledgeable about what their capabilities are, much more knowledgeable about what their program is, and still in a position to take whatever actions we would take today?","At the end of the deal they could go back -- **to their homes, with the peace of mind that we secured a fair and lasting resolution for everyone involved. That's what strong leadership looks like.**"
 So none of this is holding out hope that they’ll change their behavior? ,No.,"Well, look, you always *want* to hold out hope that people will see the light, that they'll do the right thing, that they'll learn from their mistakes. That's the American way, to believe in the possibility of change and improvement.

But when you've seen the same play run over and over again, the same patterns, the same failures to deliver on promises... well, at some point, hope isn't a strategy. It's just a wish. We've gotta deal with reality, and reality tells us we can't just keep waiting for folks to change their stripes. We've got a country to run here."
" Thank you, Mr. President. First, on behalf of all the conservation community -- and there are several people in the room -- thank you so much for your initiatives on the African elephant in particular. More than 30,000 elephants -- ","30,000.","Well, thank *you*. Thank you very much for those kind words. It's a real pleasure to have the conservation community here at the White House, and I truly appreciate your dedication to these vital issues.

You know, the African elephant... these are magnificent creatures. They are truly an emblem of the wild, and a priceless part of our global heritage. And when we look at the numbers, when we hear that more than 30,000 elephants have been lost – that's a sobering figure, folks. It's unacceptable. It's a stark reminder of the challenges we face.

My administration is absolutely committed to strengthening our efforts, working with our international partners, and making sure we're doing everything we can to combat the illegal wildlife trade and protect these incredible animals for future generations. It's the right thing to do. So, thank you again for being here."
" Our next question is going to come from Twitter. Sir, we have a question from JRita2192. “Mr. President, can you share with us your personal experience and memories of when 9/11 first happened?” ","It was interesting -- Michelle and I were just talking about that this morning. Sasha, my youngest daughter, had just been born. She was four or five months old. And September 11th was Malia’s first day of preschool or kindergarten -- I think it was kindergarten. So Michelle had gone with the girls to drop Malia off at school. They were tiny. I was at the time a state senator, so I was going to downtown Chicago to a hearing on an issue. And I remember driving on Lake Shore Drive in Chicago and hearing the reports of a plane crashing into the buildings. And at first, the reports were unclear, so you thought it was a Cessna or some accident had happened. And it wasn’t until I got downtown to where the hearing was taking place that we started realizing it was something much more serious. And at that time, no one was sure whether this was a one-off or whether this was going to be an ongoing attack, because then you started getting reports from the Pentagon and other places. So the building was evacuated. And I remember standing downtown Chicago with thousands of other people, and there were a lot of targets, obviously, for possible action, this including -- at the time, it was called the Sears Tower. And people didn’t know what to think. And then I remember going to my law office, and that’s when we saw the images of the Twin Towers starting to come down. And that evening, I have very vivid memories of giving Sasha a bottle and rocking her to sleep while we were watching the aftermath of those attacks. And like I think everybody here, although most of you were a lot younger, it gave you a sense, for the first time in my lifetime, that our homeland could be vulnerable in that way. We hadn’t seen an attack like that since Pearl Harbor. And I think it inspired all of us to remember just how precious what we have is, and the need for us to defend it at any cost. And although subsequently I would have strong disagreements with the previous administration about certain decisions that were made, I remember and give great credit to President Bush for being at the site, throwing out that first pitch at Yankee Stadium, and everyone remembering that you’re not a Democrat first or a Republican first, or a Texan first or Californian first, you’re an American, and that we all have to come together. And my hope is always on a day like today that we remember that sense that what binds us together is much more important than anything that divides us, and that what makes this country special is the fact that we are bound together -- we, or our parents, or our great- grandparents, we all come from different places, but we all have a shared creed, a shared belief system, and a shared set of commitments. And all of you in your service exemplify that every day. Moderator Parry: It was an excellent question from social media. And our viewers can join us and join this conversation on social media from Twitter using the hashtag #askPOTUS, or the Department of Defense’s Facebook page. We’re actually going to go back overseas for you, Mr. President, and Petty Officer Lori Bent is going to take us there. Moderator","Well, thank you, JRita2192, for that question. It's one that every American who lived through that day remembers vividly, and for good reason. It was a day that changed us all.

I was visiting an elementary school in Sarasota, Florida, on that morning, September 11th, 2001. I was in a classroom, reading a book to a group of second graders, innocent children with bright eyes and curious minds. The morning was clear, beautiful, just a regular school visit.

Then, my Chief of Staff, Andy Card, came in. He walked quietly to me and whispered directly into my ear, ""A second plane hit the second tower. America is under attack.""

You know, the cameras were on me, and I had a decision to make in that instant. Do I jump up and run out, causing panic among those young children and the school staff? Or do I project calm, absorb the information, and act deliberately? I stayed for a few more minutes, finishing the story, but my mind was already racing, grappling with the sheer enormity of what I'd just been told. My mind was on our country, on the safety of our people, on what this all meant.

From that moment, it was a blur of movement and decisions. We were moved from place to place for security reasons – from Florida to Barksdale Air Force Base in Louisiana, then to Offutt Air Force Base in Nebraska. It was vital to ensure the continuity of government, to make sure our military was ready, and to gather the facts. But all the while, my heart was with the victims, with the brave first responders, and with the families whose lives were being torn apart in New York, in Washington, D.C., and in Pennsylvania.

The images, the phone calls, the gravity of the situation... they're burned into my memory, like so many Americans. The smoke, the rubble, the incredible bravery. And then, the extraordinary unity that swept across our nation in the aftermath. People helping strangers, communities coming together, a profound sense of shared grief and shared purpose.

It was a test of our nation's character, and America rose to meet it. We stood together. We never forget those who were lost, and we never forget the spirit of unity and resilience that defined us in those difficult days. Thank you for asking, JRita. It's a day we must always remember."
" Sir, we are headed to NATO -- Brussels, Belgium -- where we’re going to talk to Navy Commander Scot Cregan. Commander Cregan, go ahead with your question for the President. Commander Cregan: Thank you for your time, Mr. President. I was honored to march in your inaugural parade in 2009, and we briefly met a few years later when I worked a Halloween White House event. I was a Star Wars storm trooper. ","You were great. Commander Cregan: You may not remember what I looked like because we all kind of looked alike. On a serious note, we’re seeing more and more refugees coming to Europe by land and by sea. Do you think there should be a NATO response to this crisis?","Well now, Commander Cregan, it's good to hear from you. Thank you for your service and for those kind words. You know, 2009, I believe I was just getting settled back down in Texas after a long eight years in Washington. So I reckon you were marching for a different fella's parade that year, but I always appreciate folks supporting the Commander-in-Chief, no matter who it is.

And a Star Wars stormtrooper at Halloween? (chuckles) That's good stuff right there, Commander. Good stuff. Always knew our military folks had a sense of humor under those uniforms. Alright, you've got the floor. What's on your mind?"
" Yes, our next question comes from Joint Base Lewis-McChord from a C-17 instructor pilot, Major Jennifer Moore. Major Moore, go ahead with your question. Major Moore: Mr. President, good afternoon. Sir, both my husband and I have been serving side-by-side as C-17 and T-6 instructor pilots for the past 11 years, and we have two amazing and thriving children. How do you and Mrs. Obama know how to balance life and work to ensure your children will grow up to be successful in their future endeavors? ","Well, first of all, thanks to you and your husband both for serving. And tell your kids I said hi and that they should do what you tell them to do. How old are your kids? Major Moore: Well, my daughter, Gabby, is seven and my son, Robert, is four. I have a picture, sir. It would kill me if I didn’t have an opportunity to show you.","Well, Major Moore, thank you for that question, and thank you, and your husband, for your service. Eleven years as instructor pilots, C-17s and T-6s, that's real dedication, and it's a testament to your commitment to our country. And two thriving children, that's a blessing, it truly is.

You know, it's a question every parent asks themselves, no matter what their profession. How do you raise good kids? How do you make sure they're ready for the world? And when both parents are serving, like you two, well, that adds another layer of challenge and sacrifice. You're out there flying, protecting our nation, and still trying to be the best parents you can be.

Laura and I, we always tried to put our girls, Barbara and Jenna, first. We tried to instill in them the right values: honesty, integrity, respect for others, and a strong faith. Those are the things that guide you in life. And we made sure they knew they were loved, unconditionally.

Now, balancing the demands of public life, or any demanding job for that matter, with family, it's not always easy. Sometimes you miss things. Sometimes you're away. But it's about making the time you *do* have count. It's about being present. It's about listening, really listening, to your kids. And it's about having a strong partner by your side, and I was blessed to have Laura every step of the way, making sure our home was a place of stability and love. She's a remarkable woman, and a tremendous mother.

You and your husband, you're teaching your children so much already through your example: duty, sacrifice, patriotism. Those are powerful lessons. Just keep loving them, keep talking to them, and keep those values at the center of your home. You're doing a great job, Major. Thank you."
" We are headed online to Facebook. Sir, this question is coming from Michael Ong: “Mr. President, how do you keep striving for great accomplishment with a positive attitude while everyone seems to be hating and talking smack about you and all you do?” ","Yeah! You know, the truth is, is that not everyone is talking smack about me. But there is a sizable percentage in Congress that talks smack about me, no doubt about it. It’s interesting -- when you go into public service, I think there are two ways to approach it. One way to approach it is that you just want to be popular. You want to get elected, you want to stay in office, you want to be popular. Another way of approaching it is, I want a particular position because I want to get something done for the American people. And not everything that is right to do is going to be the popular thing to do. And I made a decision early on that if I was going to do this, if I was going to run for elected office, that I had to have some core, some set of beliefs and principles, and that there would be times where I made mistakes or I made a wrong call, but that I was guided by what I thought was best for the American people, and that I couldn’t worry about short-term popularity if I was going to do my best. So I’ll give you a good example. When I came into office, early on, we had the worst financial crisis in our history. One of the casualties of that was the U.S. auto industry. The big three automakers were on the verge of flat-lining, and were getting all these bailouts but they weren’t changing what they were doing. 4 And a lot of folks thought that Chrysler was going to go bankrupt, and then GM was going to go next, and then all the suppliers would lose out, and pretty soon all we would be able to buy is Japanese and Korean and German cars. And I said, this is an industry that’s too important -- one that we essentially built -- for us to be able to just let it go. And I knew that we had to put more money into it to get the industry back on its feet, but I also knew that we had to force them to make management changes so they could start building good cars and competing again. Well, I tell you, when we put forward our plan, I think that 10 percent of people agreed with it. Even in Michigan, I think the overwhelming majority of people opposed it, opposed our plan. And if I had been thinking in terms of just looking at the poll numbers, I wouldn’t have done it. But I looked at the evidence and what I thought was going to be best, and we did it. And this year, we’re probably going to sell more U.S. cars than we have in 20 years, and they’ve hired back hundreds of thousands of workers, and it’s been driving a rebound of American manufacturing that is vital to our economy. So the longer I’m in this office, the more committed I am to making those calls. And part of the challenge in this job is, is that if it’s an easy question it doesn’t get to my desk. The only things that come to my desk are things that somebody else hasn’t been able to solve. And my job is to make a decision based on sometimes imperfect information and you’re working on the percentages. When I made the order for us to go in and get bin Laden at that house in Pakistan, it was probably a 50/50 proposition as to whether that was, in fact, him, and the risks obviously were enormous. If I had been making that decision based on wanting to avoid risk and not having somebody talk smack about me, then that might not be a decision that I would have been prepared to make. And part of this is my own personal faith and prayer, and part of it is the support of an incredible family and friends. And part of it is seeing the sacrifices that all of you make. When I go to Walter Reed and I visit wounded troops, then I say to myself, well, I’ve got to be serious about what I do, and I can’t be worrying about poll numbers or what cable TV says. I’ve got to make sure that I am, to the best of my abilities, making the decisions that I think are going to be most important for American prosperity and American security over the long term. And that way, you can at least sleep at night. That way when I go to bed, I go to bed easy, because I know that I’ve made the best decisions I could make. Now, the only way that works is if I’m also open and listening to see if the decisions I made were the right ones, is it working. And I’ve got to be open to the fact that sometimes I may not make the right decision, and I’m willing to correct it. 5 And I’ve got to own that. And that’s what I always tell everybody in the White House, is if somebody screws up -- because there will be some screw-ups -- own it and correct it, and learn from it. And what applies to everybody on my team applies to me, as well. So I think some of you may recall when we passed health care, everything was working fine until there was this website that didn’t work. It was a disaster -- even though I had been asking every two weeks, how’s the website going, I hope this works. But it didn’t work. And we had to own that and double down. And we corrected it in three or four months, and now 16 million people have health insurance that didn’t have it before, and it actually costs less than people anticipated. It's working the way it should have. But that was a screw-up, and there’s no point in trying to hide things when they don’t work. So I guess the last thing I’d say is I tend to just take the long view on things. Political polls and what the pundits say and what other politicians say -- that comes and goes. It goes up and goes down. I try to think 20 years from now, when I look back, will people say, this person operated with integrity and made decisions that were best for the country. And so far that’s working for me, anyway. It doesn’t mean I’m not sometimes a little offended. That’s why I go to the gym, work it off. Moderator Parry: Well, Mr. President, your next question -- Petty Officer Lori Bent is going to take us overseas. Moderator","Well, Michael, that's a *great* question, a really fantastic question, and frankly, it's something I've dealt with my entire life, whether it was in business or, frankly, especially in politics.

Look, when you're doing big things, tremendous things, things that nobody else has ever thought of doing, you're going to have people who don't like it. You're going to have the establishment, the fake news media, certain politicians, they're always going to be talking smack. They just are. It's what they do.

But here's the thing: you can't let it get to you. You really can't. You have to understand that what we're doing, what *I'm* doing, it's for the country. It's for the American people. And when I go out there, and I see the thousands and thousands, sometimes *tens of thousands* of people, incredible people, who are cheering, who are supporting, who believe in what we're doing – that's what keeps you going. That's the real positive energy.

We're achieving things, tremendous things, the best economy ever, rebuilding our military, standing up for America. And when you're winning, and believe me, we *are* winning, the people who are hating, they hate it even more. But that just tells you you're on the right track. You're disrupting the swamp. You're getting things done.

So, you just put your head down, you focus on the mission, you remember who you're fighting for, and you keep that positive attitude because we know we're right. We're making America great again, and nobody's going to stop us. Thank you, Michael. Great question."
" Sir, your next question is coming from Gunnery Sergeant Bryson Elliott, and he’s at U.S. AFRICOM Stuttgart, Germany. Gunny, go ahead with your question. Gunnery Sergeant Elliott: First of all, sir, thank you. Good afternoon. Thank you for taking my question. Mr. President, my question is, how are military exercises like African Lion with Morocco strengthening the relationships between the U.S. and African nations? ","Well, it’s a great question. And thank you for your service. Tell everybody at AFRICOM we appreciate them. 6 I just came back from Africa several months ago, and there are huge challenges there, but also huge opportunities. First of all, that’s a continent that appreciates America. When you look at polls, the continent as a whole, their positive views of America are as high as any other continent in the world. So the people of the African continent admire the United States. They appreciate our values and our way of life, and there’s a real connection. It also is the continent with some of the fastest-growing economies in the world. I think we tend to have stereotypes about Africa as Ebola and poverty and all this stuff. When you travel there, they’re moving. And you go to cities there, and everybody has got a cell phone, and everybody is hustling, and everybody is working. And that’s going to be one of the great next arenas for economic growth and trade. And that means that the United States is selling more goods there and they’re selling more here, and there are enormous opportunities. So our prosperity with them is tied together. What is also true is, is that there are parts of Africa -- particularly North Africa, but it’s seeping down along the coasts -- where violent Islamic extremism has taken hold. And Somalia being a prime example where Al-Shabaab has been working for a long time; Boko Haram in Nigeria; al Qaeda in the Maghreb. And so we have to have a strategy to partner with those countries to ensure that our intelligence capabilities, our rapid-response capabilities, and their own capabilities for maintaining order and pushing back against extremism -- that they are a lot stronger in the years to come. The good news is that these countries are eager for that kind of cooperation. Countries like Nigeria, countries like Kenya welcome our presence, welcome our training of their troops. We have excellent CT cooperation with them. The big problem they’ve got is capacity, but capacity is one of those things you can solve where you’ve got a willing partner. So we’re working with the joint chiefs to develop plans so that we are continuing to build up partnership capabilities across the continent. And that will help us not only with homegrown problems inside of Africa, but those platforms then also allow us to act more effectively against deeply rooted organizations like al Qaeda on the peninsula in Yemen, because that’s right across the ocean and we want to be able to make sure that we can target those terrorist networks effectively. Having African partners helps us do that. Moderator Parry: Mr. President, we’re hoping to squeeze in at least one more question.","Gunny, thank you. Thank you for your service, first and foremost, and for that excellent question coming all the way from Stuttgart. That's a great question, a really important one.

Look, military exercises like African Lion, particularly with a strong partner like Morocco, are absolutely crucial. They're not just about moving troops and equipment, no, no, no. They are about building relationships, plain and simple, and strengthening those vital ties we have with our African partners.

First, you're talking about **interoperability**. Our forces, their forces – we learn to work together. We learn each other's tactics, our procedures, how we communicate. When you're out there in the field, shoulder-to-shoulder, sweating, training, facing challenges together, you build a bond, a trust that you just can't get in a conference room. That trust is paramount.

Second, it's about **capacity building**. We're helping our partners, like Morocco, to enhance their own security capabilities. This is good for them, it's good for the region, and frankly, it's good for us. A stronger, more secure Africa is an Africa that can better counter threats like terrorism, instability, and malign influence. It's about self-reliance, and we want our partners to be strong.

Third, these exercises are a clear demonstration of America's **commitment** to the security and stability of the African continent. We stand with our allies. We're there to promote peace, to foster economic growth, and to ensure that these nations can protect their sovereignty. It sends a powerful message, believe me.

So, when you see our brave men and women, like yourself, Gunny, out there training, know that it's doing more than just perfecting maneuvers. It's building friendships, it's strengthening alliances, and it's making the world a safer, more stable place for everybody. It's truly a tremendous effort. Thank you again for that question."
